"","OBJECTID","CMM","CM","TYPE_","NIVEAU","GISEMENT","TRANCHE","ZONE_","RAPPORT_MIN","MINR_PASSANT","X","Y","Z","PT","PP","BPL_B","RP","CO2_B","CAO_B","SIO2_B","FE2O3_B","AL2O3_B","F_B","CORG_B","NA2O_B","K2O_B","MGO_B","CD_B","U_B","AS_B","V_B","ZN_B","TI_B","TR_B","SR_B","CL_B","Mo_B","Cr_B","SIO2_L","MGO_L","CD_L","CO2_L","SO3_B","AS_L","CL_L","SIO2R_B","Th_B","ORDRE","OBS"
"1",1,"CMM989","CM1626","GEOCHIMIE","C0","G1","T1","","0","0","352787,9495","263814,1515","640,1015","0,69","0,69","77,602","95,91","5,6695","34,063","7,0265","0,2875","0,5405","4,4735","0","0","0","0,6095","5,75","139,15","12,65","267,95","303,6","0","0","1124,7","0","0","0","0","0,3335","0","0","0","0","0","0","0","8,05","0"
"2",2,"CMM992","CM1629","GEOCHIMIE","C0","G1","T2","","0","0","367192,056","256103,643","603,06","1,6675","1,6675","57,109","79,856","12,42","50,094","13,133","0,3565","1,0695","3,2545","0","0","0","3,2775","14,95","118,45","4,6","118,45","256,45","0","0","941,85","0","0","0","0","0,851","0","0","0","0","0","0","0","8,05","0"
"4",4,"CMM1843","CM1843","GEOCHIMIE","C0","G1","T3","","0","0","378771,4635","263227,9505","657,823","0,9775","0,9775","63,0545","80,0975","10,9825","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,943","0","0","0","0","0","0","0","8,05","0"
"5",5,"CMM1846","CM1846","GEOCHIMIE","C0","G1","T1","","0","0","383496,5375","255260,0375","627,325","0,575","0,575","50,968","74,589","12,719","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2,737","0","0","0","0","0","0","0","8,05","0"
"6",6,"CMM1848","CM1848","GEOCHIMIE","C0","G1","T3","","0","0","369611,3225","263239,577","632,04","0,92","0,92","59,087","80,684","12,7075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10,4075","0","0","0","0","0","0","0","8,05","0"
"7",7,"CMM989","CM1626","GEOCHIMIE","C0P","G1","T1","","0","0","352787,9495","263814,1515","640,1015","0,345","0,345","62,514","88,872","11,339","31,2455","8,763","0,2185","0,8395","3,6455","0","0","0","2,6105","6,9","119,6","10,35","96,6","246,1","0","0","937,25","0","0","0","0","0,6325","0","0","0","0","0","0","0","12,65","0"
"10",10,"CMM995","CM1632","GEOCHIMIE","C0P","G1","T2","","0","0","396823,4965","263700,9915","688,413","1,2075","0,92","70,173","90,781","9,7865","62,031","6,141","0,207","0,7475","4,117","0","0","0","0,8855","32,2","126,5","9,2","115","148,35","0","0","959,1","0","0","0","0","0,506","0","0","0","0","0","0","0","12,65","0"
"11",11,"CMM1843","CM1843","GEOCHIMIE","C0P","G1","T3","","0","0","378771,4635","263227,9505","657,823","0,1725","0,1725","59,593","83,9615","12,075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,9315","0","0","0","0","0","0","0","12,65","0"
"12",12,"CMM1844","CM1844","GEOCHIMIE","C0P","G1","T2","","0","0","388739,33","262653,905","661,1925","0,345","0,345","55,016","85,2495","16,5025","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,3795","0","0","0","0","0","0","0","12,65","0"
"13",13,"CMM1845","CM1845","GEOCHIMIE","C0P","G1","T4","","0","0","367276,7995","259261,612","628,0955","0,5175","0,5175","61,41","88,6075","12,282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,966","0","0","0","0","0","0","0","12,65","0"
