"","OBJECTID","CMM","CM","TYPE_","NIVEAU","GISEMENT","TRANCHE","ZONE_","RAPPORT_MIN","MINR_PASSANT","X","Y","Z","PT","PP","BPL_B","RP","CO2_B","CAO_B","SIO2_B","FE2O3_B","AL2O3_B","F_B","CORG_B","NA2O_B","K2O_B","MGO_B","CD_B","U_B","AS_B","V_B","ZN_B","TI_B","TR_B","SR_B","CL_B","Mo_B","Cr_B","SIO2_L","MGO_L","CD_L","CO2_L","SO3_B","AS_L","CL_L","SIO2R_B","Th_B","ORDRE","OBS"
"1",1,"CMM1","CM698","GEOCHIMIE","Niveau 1","G1","T1","","0","0","262872,4336","196575,5013","476,958012","0,514138817","0,514138817","57,82347901","71,46529563","4,224507284","25,38131962","5,235646958","0,214224507","0,402742074","3,333333333","0","0","0","0,454155955","4,284490146","103,6846615","9,42587832","199,6572408","226,2210797","0","0","838,0462725","0","0","0","0","0,248500428","0","0","0","0","0","0","0","5,998286204","0"
"3",3,"CMM3","CM705","GEOCHIMIE","Niveau 1","G1","T2","","0","0","295684,5844","196491,1825","512,9562982","0,556983719","0,556983719","49,70008569","67,51499572","7,257926307","46,28963153","6,246786632","0,154241645","0,616966581","2,887746358","0","0","0","0,462724936","12,85347044","110,5398458","7,712082262","94,2587832","105,3984576","0","0","754,0702656","0","0","0","0","0,334190231","0","0","0","0","0","0","0","5,998286204","0"
"6",6,"CMM6","CM944","GEOCHIMIE","Niveau 1","G1","T3","","0","0","275408,012","196147,3693","470,9511568","0,685518423","0,685518423","44,02742074","60,11996572","9,468723222","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7,754927164","0","0","0","0","0","0","0","5,998286204","0"
"7",7,"CMM1","CM698","GEOCHIMIE","Niveau 2","G1","T1","","0","0","262872,4336","196575,5013","476,958012","0,257069409","0,257069409","46,58097686","66,22107969","8,449014567","23,28191945","6,529562982","0,162810626","0,625535561","2,716366752","0","0","0","1,945158526","5,141388175","89,11739503","7,712082262","71,97943445","183,3761782","0","0","698,3718937","0","0","0","0","0,471293916","0","0","0","0","0","0","0","9,42587832","0"
"9",9,"CMM7","CM703","GEOCHIMIE","Niveau 2","G1","T1","","0","0","292263,4876","195937,1979","483,033419","0,514138817","0,471293916","51,28534704","67,00942588","5,544130249","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9,42587832","0"
"10",10,"CMM3","CM705","GEOCHIMIE","Niveau 2","G1","T2","","0","0","295684,5844","196491,1825","512,9562982","0,899742931","0,685518423","52,28791774","67,64353042","7,292202228","46,22107969","4,575835476","0,154241645","0,556983719","3,067694944","0","0","0","0,659811482","23,99314482","94,2587832","6,855184233","85,68980291","110,5398458","0","0","714,6529563","0","0","0","0","0,377035133","0","0","0","0","0","0","0","9,42587832","0"
"12",12,"CMM8","CM940","GEOCHIMIE","Niveau 2","G1","T2","","0","0","289660,8398","195710,9683","492,6735219","0,257069409","0,257069409","40,99400171","63,5218509","12,29648672","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,28277635","0","0","0","0","0","0","0","9,42587832","0"
"13",13,"CMM9","CM941","GEOCHIMIE","Niveau 2","G1","T4","","0","0","273668,4919","193183,2734","468,0119966","0,385604113","0,385604113","45,75835476","66,02399314","9,151670951","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0,719794344","0","0","0","0","0","0","0","9,42587832","0"
"14",14,"CMM5","CM942","GEOCHIMIE","Niveau 2","G1","T5","","0","0","285754,2845","190201,5853","467,4378749","0,428449015","0,342759212","44,38731791","59,40017138","9,331619537","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,328191945","0","0","0","0","0","0","0","9,42587832","0"
"15",15,"CMM1","CM698","GEOCHIMIE","Niveau 3","G1","T1","","0","0","262872,4336","196575,5013","476,958012","0,814053128","0,814053128","45,68123393","73,61610968","7,437874893","30,54841474","9,023136247","0,128534704","0,565552699","2,784918595","0","0","0","0,505569837","4,284490146","101,9708655","7,712082262","132,8191945","157,6692374","0","0","792,6306769","0","0","0","0","0,30848329","0","0","0","0","0","0","0","11,99657241","0"
